episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_sampled,info/num_weight_broadcasts
10.0,0.0,3.9682539682539684,758.3492063492064,63,2,50028,False,63,1,fdb663aade4248a3a683f03bc402e064,2020-12-29_16-05-17,1609257917,107.93018531799316,107.93018531799316,58,pgjurgisre356eaa01aphrcarsg995heists2ret20201229r2aduw-xjhrd,10.20.4.3,107.93018531799316,0,1,5e033_00000,0,"[10.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 0.0, 10.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0]","[34, 610, 1000, 1000, 1000, 791, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 213, 292, 1000, 435, 113, 1000, 727, 1000, 559, 133, 693, 1000, 1000, 1000, 1000, 569, 1000, 64, 562, 570, 1000, 1000, 533, 1000, 1000, 1000, 1000, 131, 1000, 53, 1000, 1000, 111, 959, 1000, 1000, 481, 1000, 1000, 56, 894, 1000, 1000, 1000, 1000, 42, 1000, 1000, 1000, 151]",1.145769118434192,0.8031401397603039,14.237753275476207,50028,11
10.0,0.0,3.2,818.05,56,2,100056,False,119,2,fdb663aade4248a3a683f03bc402e064,2020-12-29_16-07-04,1609258024,106.21895742416382,214.14914274215698,58,pgjurgisre356eaa01aphrcarsg995heists2ret20201229r2aduw-xjhrd,10.20.4.3,214.14914274215698,0,2,5e033_00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 453, 1000, 934, 1000, 1000, 66, 101, 1000, 1000, 1000, 1000, 531, 1000, 1000, 1000, 757, 1000, 1000, 1000, 1000, 1000, 803, 1000, 1000, 1000, 435, 1000, 1000, 1000, 1000, 4, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 714, 397, 575, 357, 1000, 390, 1000, 1000, 1000, 1000, 1000, 727, 1000, 559, 133, 693, 1000, 1000, 1000, 1000, 569, 1000, 64, 562, 570, 1000, 1000, 533, 1000, 1000, 1000, 1000, 131, 1000, 53, 1000, 1000, 111, 959, 1000, 1000, 481, 1000, 1000, 56, 894, 1000, 1000, 1000, 1000, 42, 1000, 1000, 1000, 151]",1.1615424653867168,0.8120688100788891,14.355527138250297,100056,21
10.0,0.0,2.9,825.91,64,2,150084,False,183,3,fdb663aade4248a3a683f03bc402e064,2020-12-29_16-08-53,1609258133,108.89928936958313,323.0484321117401,58,pgjurgisre356eaa01aphrcarsg995heists2ret20201229r2aduw-xjhrd,10.20.4.3,323.0484321117401,0,3,5e033_00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 302, 1000, 274, 1000, 1000, 972, 1000, 549, 108, 1000, 65, 102, 521, 1000, 1000, 1000, 903, 1000, 142, 28, 1000, 1000, 1000, 1000, 227, 1000, 561, 1000, 1000, 1000, 150, 1000, 1000, 161, 555, 1000, 1000, 1000, 1000, 1000, 172, 684, 1000, 402, 281, 1000, 1000, 1000, 757, 1000, 1000, 1000, 1000, 1000, 803, 1000, 1000, 1000, 435, 1000, 1000, 1000, 1000, 4, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 714, 397, 575, 357, 1000, 390, 1000, 1000, 1000, 1000, 1000]",1.1840337327248072,0.8234221073610576,14.560891749839639,150084,32
10.0,0.0,3.4,768.36,62,2,200112,False,245,4,fdb663aade4248a3a683f03bc402e064,2020-12-29_16-10-44,1609258244,109.2532799243927,432.3017120361328,58,pgjurgisre356eaa01aphrcarsg995heists2ret20201229r2aduw-xjhrd,10.20.4.3,432.3017120361328,0,4,5e033_00000,0,"[0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 0.0]","[1000, 772, 1000, 1000, 1000, 34, 1000, 1000, 1000, 1000, 1000, 1000, 840, 1000, 1000, 138, 39, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 932, 149, 1000, 18, 1000, 1000, 1000, 1000, 105, 666, 1000, 1000, 1000, 54, 34, 323, 1000, 1000, 1000, 1000, 384, 83, 1000, 1000, 1000, 1000, 1000, 151, 1000, 1000, 1000, 502, 1000, 1000, 1000, 550, 108, 1000, 65, 102, 521, 1000, 1000, 1000, 903, 1000, 142, 28, 1000, 1000, 1000, 1000, 227, 1000, 561, 1000, 1000, 1000, 150, 1000, 1000, 161, 555, 1000, 1000, 1000, 1000, 1000, 172, 684, 1000, 402, 281, 1000]",1.1970887829495271,0.8288345200311639,14.685937988654416,200112,43
10.0,0.0,3.2,761.46,66,2,250140,False,311,5,fdb663aade4248a3a683f03bc402e064,2020-12-29_16-12-36,1609258356,110.41115951538086,542.7128715515137,58,pgjurgisre356eaa01aphrcarsg995heists2ret20201229r2aduw-xjhrd,10.20.4.3,542.7128715515137,0,5,5e033_00000,0,"[10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0]","[536, 1000, 28, 1000, 16, 1000, 225, 1000, 1000, 1000, 1, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 32, 1000, 1000, 1000, 1000, 13, 1000, 451, 701, 1000, 1000, 1000, 1000, 1000, 8, 1000, 116, 1000, 673, 836, 1000, 184, 46, 1000, 580, 1000, 1000, 1000, 1000, 1000, 1000, 250, 1000, 1000, 1000, 254, 1000, 1000, 1000, 1000, 317, 2, 1000, 1000, 7, 1000, 1000, 18, 1000, 1000, 1000, 1000, 105, 666, 1000, 1000, 1000, 54, 34, 323, 1000, 1000, 1000, 1000, 384, 83, 1000, 1000, 1000, 1000, 1000, 151, 1000, 1000, 1000, 502, 1000, 1000, 1000, 550]",1.2089126921117825,0.8349087295235245,14.788689148640975,250140,54
10.0,0.0,3.1,800.5,60,2,300168,False,371,6,fdb663aade4248a3a683f03bc402e064,2020-12-29_16-14-26,1609258466,108.4217278957367,651.1345994472504,58,pgjurgisre356eaa01aphrcarsg995heists2ret20201229r2aduw-xjhrd,10.20.4.3,651.1345994472504,0,6,5e033_00000,0,"[0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 10.0, 0.0]","[1000, 1000, 17, 724, 608, 1000, 703, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 603, 486, 1000, 27, 74, 1000, 1000, 1000, 1000, 1000, 193, 1000, 1000, 1000, 1000, 284, 1000, 1000, 769, 709, 1000, 1000, 1000, 1000, 1000, 1000, 18, 1000, 1000, 1000, 1000, 387, 18, 409, 1000, 596, 1000, 1000, 1000, 451, 701, 1000, 1000, 1000, 1000, 1000, 8, 1000, 116, 1000, 673, 836, 1000, 184, 46, 1000, 580, 1000, 1000, 1000, 1000, 1000, 1000, 250, 1000, 1000, 1000, 254, 1000, 1000, 1000, 1000, 317, 2, 1000, 1000, 7, 1000]",1.214346096398259,0.8387587421545034,14.829172947076854,300168,65
10.0,0.0,3.8,794.29,63,2,350196,False,434,7,fdb663aade4248a3a683f03bc402e064,2020-12-29_16-16-18,1609258578,110.05432772636414,761.1889271736145,58,pgjurgisre356eaa01aphrcarsg995heists2ret20201229r2aduw-xjhrd,10.20.4.3,761.1889271736145,0,7,5e033_00000,0,"[10.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 10.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 10.0, 10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 10.0, 0.0, 0.0]","[297, 1000, 1000, 1000, 623, 897, 1000, 1000, 1000, 1000, 1000, 1000, 410, 1000, 1000, 1000, 1000, 377, 378, 989, 246, 592, 1000, 753, 1000, 1000, 1000, 1000, 1000, 734, 1000, 940, 143, 1000, 1000, 1000, 541, 1000, 1000, 375, 1000, 788, 1000, 1000, 837, 1000, 1000, 231, 1000, 1000, 44, 105, 660, 1000, 1000, 661, 57, 308, 595, 878, 1000, 1000, 1000, 486, 1000, 27, 74, 1000, 1000, 1000, 1000, 1000, 193, 1000, 1000, 1000, 1000, 284, 1000, 1000, 769, 709, 1000, 1000, 1000, 1000, 1000, 1000, 18, 1000, 1000, 1000, 1000, 387, 18, 409, 1000, 596, 1000, 1000]",1.218968377499601,0.8414271822461618,14.865737937504464,350196,76
10.0,0.0,3.1,825.39,59,2,400224,False,493,8,fdb663aade4248a3a683f03bc402e064,2020-12-29_16-18-08,1609258688,109.3699688911438,870.5588960647583,58,pgjurgisre356eaa01aphrcarsg995heists2ret20201229r2aduw-xjhrd,10.20.4.3,870.5588960647583,0,8,5e033_00000,0,"[0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 10.0, 10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 63, 1000, 1000, 86, 1000, 1000, 284, 1000, 42, 1000, 1000, 444, 106, 119, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 435, 1000, 1000, 4, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 669, 1000, 940, 1000, 1000, 1000, 1000, 738, 1000, 407, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 552, 1000, 753, 1000, 1000, 1000, 1000, 1000, 734, 1000, 940, 143, 1000, 1000, 1000, 541, 1000, 1000, 375, 1000, 788, 1000, 1000, 837, 1000, 1000, 231, 1000, 1000, 44, 105, 660, 1000, 1000, 661, 57, 308, 595, 878, 1000, 1000, 1000]",1.2221948934951907,0.8434149788272641,14.898414150220859,400224,87
10.0,0.0,2.9,859.96,61,2,450252,False,554,9,fdb663aade4248a3a683f03bc402e064,2020-12-29_16-20-01,1609258801,111.07186269760132,981.6307587623596,58,pgjurgisre356eaa01aphrcarsg995heists2ret20201229r2aduw-xjhrd,10.20.4.3,981.6307587623596,0,9,5e033_00000,0,"[0.0, 10.0, 10.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0]","[1000, 128, 2, 1000, 773, 1000, 1000, 887, 723, 337, 1000, 232, 933, 1000, 1000, 1000, 1000, 674, 1000, 1000, 994, 1000, 653, 1000, 1000, 1000, 787, 1000, 651, 1000, 1000, 285, 3, 1000, 1000, 1000, 355, 1000, 360, 1000, 456, 134, 1000, 1000, 1000, 1000, 664, 1000, 1000, 1000, 1000, 1000, 467, 1000, 753, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 435, 1000, 1000, 4, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 669, 1000, 940, 1000, 1000, 1000, 1000, 738, 1000, 407, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 552]",1.2263113422606065,0.8454549598211466,14.937529920209075,450252,98
10.0,0.0,3.1,788.28,65,2,500280,False,619,10,fdb663aade4248a3a683f03bc402e064,2020-12-29_16-21-50,1609258910,107.84695339202881,1089.4777121543884,58,pgjurgisre356eaa01aphrcarsg995heists2ret20201229r2aduw-xjhrd,10.20.4.3,1089.4777121543884,0,10,5e033_00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 121, 1000, 1000, 1000, 1000, 217, 1000, 444, 17, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 426, 254, 90, 1000, 125, 1000, 8, 1000, 1000, 6, 84, 35, 1000, 774, 1000, 1000, 603, 1000, 400, 1000, 1000, 1000, 1000, 1000, 1000, 549, 1000, 573, 10, 31, 1000, 1000, 146, 1000, 787, 1000, 651, 1000, 1000, 285, 3, 1000, 1000, 1000, 355, 1000, 360, 1000, 456, 134, 1000, 1000, 1000, 1000, 664, 1000, 1000, 1000, 1000, 1000, 467, 1000, 753, 1000, 1000, 1000, 1000, 1000, 1000]",1.227402778298867,0.8449780002013761,14.945050451202874,500280,108
